optimizer,p,m,energy_Hc,success_prob,time_sec,trial
L-BFGS-B,2,2,7.869010998362569e-12,1.0,0.6304633617401123,21
L-BFGS-B,4,2,1.2298204399296964e-09,1.0,0.37427306175231934,21
L-BFGS-B,8,2,1.6469654862127925e-08,1.0,0.8761196136474609,21
L-BFGS-B,16,2,3.0604779627241285e-08,1.0,3.3558740615844727,21
L-BFGS-B,1,2,0.05995685175063496,0.9384765625,0.21214818954467773,22
L-BFGS-B,2,2,1.87916349148054e-12,1.0,0.7285366058349609,22
L-BFGS-B,4,2,1.1925455067895996e-10,1.0,0.33422017097473145,22
L-BFGS-B,8,2,1.0342915413019682e-09,1.0,0.8731441497802734,22
L-BFGS-B,16,2,5.69063568489625e-09,1.0,2.8159823417663574,22
L-BFGS-B,1,2,8.69257443802951e-12,1.0,0.2576882839202881,23
L-BFGS-B,2,2,2.7228219678931964e-14,1.0,0.1876389980316162,23
L-BFGS-B,4,2,9.741311646216388e-10,1.0,0.276702880859375,23
L-BFGS-B,8,2,1.2978308427946672e-09,1.0,0.6929824352264404,23
L-BFGS-B,16,2,1.9597009015548394e-08,1.0,2.0619544982910156,23
L-BFGS-B,1,2,1.3109929808408083e-12,1.0,0.26569056510925293,24
L-BFGS-B,2,2,3.019112737590035e-13,1.0,0.20314717292785645,24
L-BFGS-B,4,2,2.82664693040946e-09,1.0,0.3162264823913574,24
L-BFGS-B,8,2,3.506537379904806e-09,1.0,0.800065279006958,24
L-BFGS-B,16,2,8.415240726478146e-12,1.0,3.2183213233947754,24
L-BFGS-B,1,2,0.05995685173855364,0.9345703125,0.17361736297607422,25
L-BFGS-B,2,2,3.1840086123224864e-11,1.0,0.8846344947814941,25
L-BFGS-B,4,2,1.7247478167892183e-09,1.0,0.40227389335632324,25
L-BFGS-B,8,2,3.542310611504007e-09,1.0,0.8836219310760498,25
L-BFGS-B,16,2,8.016877078853568e-09,1.0,2.474316358566284,25
L-BFGS-B,1,2,2.0921597787548762e-12,1.0,0.20865440368652344,26
L-BFGS-B,2,2,9.09286534955811e-13,1.0,0.24367380142211914,26
